Date,Time,Home0,Home1,Home2,Home3,Grid,Charge,Discharge,BATTERY,GRID
03/30/2021,11:53:25,0,0,0,0,10,170,0,DISCONNECT,OFF
03/30/2021,11:53:28,0,0,0,0,40,100,0,DISCONNECT,OFF
03/30/2021,11:53:34,30,40,30,1880,30,240,0,DISCONNECT,ON
03/30/2021,11:53:38,60,40,10,2040,21820,200,0,DISCONNECT,ON
03/30/2021,11:53:39,40,30,30,18470,10470,200,0,DISCONNECT,ON
03/30/2021,11:53:40,30,0,30,10210,2290,240,0,DISCONNECT,ON
03/30/2021,11:53:41,30,40,30,10200,2230,100,0,DISCONNECT,ON
03/30/2021,11:53:43,50,30,40,10380,2190,260,0,DISCONNECT,ON
03/30/2021,11:53:44,10,40,40,9550,2230,120,0,DISCONNECT,ON
03/30/2021,11:53:45,40,30,40,10160,3250,260,0,DISCONNECT,ON
03/30/2021,11:53:46,40,30,40,2760,13490,150,0,DISCONNECT,ON
03/30/2021,11:53:48,10,30,30,6160,13400,270,0,DISCONNECT,ON
03/30/2021,11:53:49,30,30,40,2000,13430,190,0,DISCONNECT,ON
03/30/2021,11:53:50,30,50,30,18180,10550,220,0,DISCONNECT,ON
03/30/2021,11:53:51,40,30,30,11580,10650,200,0,DISCONNECT,ON
03/30/2021,11:53:52,40,40,30,10380,7630,200,0,DISCONNECT,ON
03/30/2021,11:53:54,30,50,30,10140,5580,220,0,DISCONNECT,ON
03/30/2021,11:53:55,40,30,30,2600,2730,200,0,DISCONNECT,ON
03/30/2021,11:53:56,40,30,30,10340,2200,220,0,DISCONNECT,ON
03/30/2021,11:53:57,40,30,10,10180,2250,190,0,DISCONNECT,ON
03/30/2021,11:53:59,40,30,30,2690,16100,270,0,DISCONNECT,ON
03/30/2021,11:54:00,10,30,50,8450,17750,170,0,DISCONNECT,ON
03/30/2021,11:54:01,0,30,40,2120,19560,280,0,DISCONNECT,ON
03/30/2021,11:54:02,40,30,50,3320,21820,150,0,DISCONNECT,ON
03/30/2021,11:54:03,40,30,10,2200,11670,280,0,DISCONNECT,ON
03/30/2021,11:54:05,10,40,40,19350,12240,140,0,DISCONNECT,ON
03/30/2021,11:54:06,30,30,30,12430,10380,190,0,DISCONNECT,ON
03/30/2021,11:54:07,40,30,10,10620,8330,220,0,DISCONNECT,ON
03/30/2021,11:54:08,50,10,30,10270,2160,190,0,DISCONNECT,ON
03/30/2021,11:54:10,40,30,30,10430,2280,200,0,DISCONNECT,ON
03/30/2021,11:54:11,30,30,40,10200,2520,190,0,DISCONNECT,ON
03/30/2021,11:54:12,40,30,30,7580,19230,240,0,DISCONNECT,ON
03/30/2021,11:54:13,40,50,40,2210,12930,180,0,DISCONNECT,ON
03/30/2021,11:54:14,60,50,40,6340,3260,260,0,DISCONNECT,ON
03/30/2021,11:54:16,30,40,30,10140,2240,140,0,DISCONNECT,ON
03/30/2021,11:54:17,30,50,40,5430,19020,260,0,DISCONNECT,ON
03/30/2021,11:54:18,0,30,30,2050,20200,170,0,DISCONNECT,ON
03/30/2021,11:54:19,30,30,40,5070,12130,280,0,DISCONNECT,ON
03/30/2021,11:54:21,40,30,40,2050,13890,140,0,DISCONNECT,ON
03/30/2021,11:54:22,30,30,30,5250,17020,270,0,DISCONNECT,ON
03/30/2021,11:54:23,40,30,30,2050,21770,180,0,DISCONNECT,ON
03/30/2021,11:54:24,40,40,30,13160,12250,260,0,DISCONNECT,ON
03/30/2021,11:54:26,40,40,30,17180,10770,220,0,DISCONNECT,ON
03/30/2021,11:54:27,40,40,10,12560,10280,190,0,DISCONNECT,ON
03/30/2021,11:54:28,30,40,30,10840,2600,220,0,DISCONNECT,ON
03/30/2021,11:54:29,40,50,30,10320,5220,130,0,DISCONNECT,ON
03/30/2021,11:54:30,30,40,40,10150,9200,220,0,DISCONNECT,ON
03/30/2021,11:54:32,40,30,40,10340,2330,120,0,DISCONNECT,ON
03/30/2021,11:54:33,30,50,40,10160,3210,230,0,DISCONNECT,ON
03/30/2021,11:54:34,50,30,40,9810,8680,100,0,DISCONNECT,ON
03/30/2021,11:54:35,30,30,30,10190,10270,240,0,DISCONNECT,ON
03/30/2021,11:54:37,40,30,40,10110,2750,190,0,DISCONNECT,ON
03/30/2021,11:54:38,50,40,40,6890,11170,220,0,DISCONNECT,ON
03/30/2021,11:54:39,30,40,30,9840,15590,190,0,DISCONNECT,ON
03/30/2021,11:54:40,2060,30,40,9510,22680,220,0,DISCONNECT,ON
03/30/2021,11:54:41,1800,30,0,17310,14730,240,0,DISCONNECT,ON
03/30/2021,11:54:43,90,30,30,10650,11960,150,0,DISCONNECT,ON
03/30/2021,11:54:44,2410,30,30,10390,4610,190,0,DISCONNECT,ON
03/30/2021,11:54:45,2210,30,40,10210,14320,240,0,DISCONNECT,ON
03/30/2021,11:54:46,2460,50,40,14120,12990,200,0,DISCONNECT,ON
03/30/2021,11:54:48,2480,40,40,10230,5300,200,0,DISCONNECT,ON
03/30/2021,11:54:49,2690,10,30,2140,14090,260,0,DISCONNECT,ON
03/30/2021,11:54:50,2850,40,40,4570,17700,180,0,DISCONNECT,ON
03/30/2021,11:54:51,2910,10,30,18770,13840,200,0,DISCONNECT,ON
03/30/2021,11:54:52,2640,30,40,10200,9590,240,0,DISCONNECT,ON
03/30/2021,11:54:54,2140,40,40,7270,18610,240,0,DISCONNECT,ON
03/30/2021,11:54:55,2100,10,40,20620,14480,240,0,DISCONNECT,ON
03/30/2021,11:54:56,320,30,40,10590,11670,240,0,DISCONNECT,ON
03/30/2021,11:54:57,2070,30,40,30,2590,260,0,DISCONNECT,ON
03/30/2021,11:54:59,2380,50,40,10,2290,240,0,DISCONNECT,ON
03/30/2021,11:55:00,2120,30,40,1890,4570,220,0,DISCONNECT,ON
03/30/2021,11:55:01,2500,40,30,2590,4930,230,0,DISCONNECT,ON
03/30/2021,11:55:02,2120,30,50,2060,4850,260,0,DISCONNECT,ON
03/30/2021,11:55:04,2110,40,1970,2100,7000,140,0,DISCONNECT,ON
03/30/2021,11:55:05,1950,40,4450,2730,11480,230,0,DISCONNECT,ON
03/30/2021,11:55:06,2390,40,10700,3080,7450,240,0,DISCONNECT,ON
03/30/2021,11:55:07,990,40,2520,2840,15350,180,0,DISCONNECT,ON
03/30/2021,11:55:08,2180,10,12080,3370,19710,120,0,DISCONNECT,ON
