Date,Time,Home0,Home1,Home2,Home3,Grid,Charge,Discharge,BATTERY,GRID
03/30/2021,17:41:55,30,10,30,40,30,320,0,DISCONNECT,ON
03/30/2021,17:41:57,30,10,40,30,60,240,0,DISCONNECT,ON
03/30/2021,17:41:58,30,40,30,30,60,280,0,DISCONNECT,ON
03/30/2021,17:41:59,10,60,10,30,50,310,0,DISCONNECT,ON
03/30/2021,17:42:00,40,30,30,10,50,260,0,DISCONNECT,ON
03/30/2021,17:42:02,30,30,40,10,80,240,0,DISCONNECT,ON
03/30/2021,17:42:03,30,40,30,10,60,230,0,DISCONNECT,ON
03/30/2021,17:42:04,50,30,10,10,50,280,0,DISCONNECT,ON
03/30/2021,17:42:05,30,40,30,40,60,280,0,DISCONNECT,ON
03/30/2021,17:42:07,30,30,40,10,50,280,0,DISCONNECT,ON
03/30/2021,17:42:08,50,10,30,40,80,260,0,DISCONNECT,ON
03/30/2021,17:42:09,30,40,10,10,80,270,0,DISCONNECT,ON
03/30/2021,17:42:10,30,30,40,30,60,170,0,DISCONNECT,ON
03/30/2021,18:06:49,30,30,40,10,80,270,0,DISCONNECT,ON
04/01/2021,16:31:50,0,0,0,0,30,0,30,DISCONNECT,OFF
04/01/2021,16:31:52,0,0,0,0,30,0,50,DISCONNECT,OFF
04/01/2021,16:32:20,0,0,0,0,40,0,30,DISCONNECT,ON
04/01/2021,16:32:22,2710,2160,2150,2300,700,290,30,DISCONNECT,ON
04/01/2021,16:32:24,2870,2270,2050,2330,350,290,30,DISCONNECT,ON
04/01/2021,16:32:26,2650,2270,1790,1790,520,290,30,DISCONNECT,ON
04/01/2021,16:32:29,2610,2270,1970,2250,700,290,30,DISCONNECT,ON
04/01/2021,16:32:58,2650,1980,2230,2340,190,290,30,DISCONNECT,ON
04/01/2021,16:32:59,1920,2320,2240,2270,420,290,30,DISCONNECT,ON
04/01/2021,16:33:01,2700,2360,2200,1880,50,290,40,DISCONNECT,ON
04/01/2021,16:33:03,2120,2270,2480,2270,370,290,30,DISCONNECT,ON
04/01/2021,16:33:05,2750,2040,1880,2150,320,290,30,DISCONNECT,ON
04/01/2021,16:33:28,2790,2380,2300,2370,380,290,30,DISCONNECT,ON
