Date,Time,Home0 (mW),Home1 (mW),Home2 (mW),Home3 (mW),Grid (mW),Charge (mW),Discharge (mW),BATTERY,GRID,Voltage (mV),Battery (Ah)

04/05/2021,15:25:35,200,200,140,190,30,0,40,660,DISCONNECT,OFF,12213
04/05/2021,15:25:38,600,580,560,590,30,0,40,2260,DISCONNECT,ON,12210
04/05/2021,15:25:40,700,0,5960,1420,1770,0,40,6270,DISCONNECT,ON,11946
04/05/2021,15:25:42,1740,2370,2910,3120,400,0,-12686,22426,DISCHARGE,ON,12337
04/05/2021,15:25:44,2790,23820,9460,2880,30,0,-27776,66696,DISCHARGE,ON,12671
04/05/2021,15:25:46,3390,3920,3470,4470,5340,0,31910,-22000,DISCHARGE,ON,12498
04/05/2021,15:25:48,7100,-29146,4420,580,1790,0,-27596,8760,DISCHARGE,ON,12605
04/05/2021,15:25:50,4290,22130,4540,1090,550,0,-27396,58896,DISCHARGE,ON,12476
04/05/2021,15:25:52,860,23190,4310,2980,5040,0,-29006,55306,DISCHARGE,ON,12645
04/05/2021,15:25:54,4560,-24976,6910,4070,6320,0,-30946,15190,DISCHARGE,ON,12453
04/05/2021,15:25:56,2740,21210,6690,1220,1190,0,-27776,58446,DISCHARGE,ON,12536
04/05/2021,15:25:58,2660,29240,8350,3720,1980,0,-27156,69146,DISCHARGE,ON,12463
04/05/2021,15:26:00,270,31980,9790,2600,4120,0,-27516,68036,DISCHARGE,ON,12572
04/05/2021,15:26:02,4200,8280,5480,3370,1040,0,-25796,46086,DISCHARGE,ON,12445
04/05/2021,15:26:04,4160,27090,5560,1190,960,0,-28106,65146,DISCHARGE,ON,12436
04/05/2021,15:26:06,2210,32280,3560,2570,4330,0,31710,4580,DISCHARGE,ON,12582
04/05/2021,15:26:08,6890,-25846,2930,540,2090,0,-28556,10980,DISCHARGE,ON,12436
04/05/2021,15:26:10,600,25490,1100,2760,1130,0,-29056,57876,DISCHARGE,ON,12460
04/05/2021,15:26:12,2930,4150,4710,3840,5150,0,-32766,43246,DISCHARGE,ON,12395
04/05/2021,15:26:15,5560,20710,13070,2410,2180,0,-28636,68206,DISCHARGE,ON,12435
04/05/2021,15:26:17,6090,-28816,4930,2280,1880,0,-29316,11920,DISCHARGE,ON,12412
04/05/2021,15:26:19,2430,26620,5960,3120,2930,0,28800,6400,DISCHARGE,ON,12401
04/05/2021,15:26:21,2510,4250,3600,2960,2920,0,-32346,42746,DISCHARGE,ON,12388
04/05/2021,15:26:23,7330,-20476,4660,580,1660,0,-29106,19540,DISCHARGE,ON,12401
04/05/2021,15:26:25,2190,23480,140,1700,1650,0,-29156,55016,DISCHARGE,ON,12510
04/05/2021,15:26:27,6690,-28656,2980,1380,4100,0,-28176,6470,DISCHARGE,ON,12417
04/05/2021,15:26:29,2600,-32616,4700,1590,2070,0,-31056,5260,DISCHARGE,ON,12495
04/05/2021,15:26:31,2100,5270,3070,2700,5000,0,31890,-23750,DISCHARGE,ON,12575
04/05/2021,15:26:33,6020,-28416,6890,80,2700,0,-29736,11610,DISCHARGE,ON,12406
04/05/2021,15:26:35,2250,31980,5440,2620,3080,0,29160,10050,DISCHARGE,ON,12547
04/05/2021,15:26:37,3370,4220,6800,3330,7280,0,26470,-16030,DISCHARGE,ON,12350
04/05/2021,15:26:39,3710,-20586,5470,50,1060,0,-31066,18650,DISCHARGE,ON,12373
04/05/2021,15:26:41,1510,29130,2970,2840,4630,0,26320,5500,DISCHARGE,ON,12403
04/05/2021,15:26:43,4210,2700,5160,3840,280,0,23580,-7950,DISCHARGE,ON,12341
04/05/2021,15:26:45,6320,20200,10060,2690,1910,0,-31436,68796,DISCHARGE,ON,12465
04/05/2021,15:26:47,170,24550,1130,1690,4450,0,-30626,53716,DISCHARGE,ON,12537
04/05/2021,15:26:49,3340,3400,2180,3560,5320,0,24900,-17740,DISCHARGE,ON,12343
