Date,Time,Home0,Home1,Home2,Home3,Grid,Charge,Discharge,BATTERY,GRID
03/30/2021,16:33:53,1840,240,1700,420,60,270,0,DISCONNECT,OFF
03/30/2021,16:34:17,1010,1420,590,1460,40,280,0,DISCONNECT,ON
03/30/2021,16:34:40,740,1480,590,1520,1970,190,0,DISCONNECT,ON
03/30/2021,16:34:45,590,1480,670,1400,2070,190,0,DISCONNECT,ON
03/30/2021,16:35:16,520,1380,1060,1450,2210,260,0,DISCONNECT,ON
03/30/2021,16:35:19,60,60,40,60,2040,290,0,DISCONNECT,ON
03/30/2021,16:35:23,40,40,60,40,1650,290,0,DISCONNECT,OFF
03/30/2021,16:36:10,60,40,40,60,40,270,0,DISCONNECT,ON
03/30/2021,16:36:40,40,10,10,30,150,290,0,DISCONNECT,ON
03/30/2021,16:40:05,30,30,120,230,8260,120,0,CHARGE,ON
03/30/2021,16:40:06,740,860,2190,1460,4630,3840,0,CHARGE,ON
03/30/2021,16:40:07,180,1560,3830,960,14670,8120,0,CHARGE,ON
03/30/2021,16:40:08,3420,330,2230,1930,4830,3430,0,CHARGE,ON
03/30/2021,16:40:09,1590,3010,640,360,27410,2700,0,CHARGE,ON
03/30/2021,16:40:11,3400,410,1050,2040,4560,4520,0,CHARGE,ON
03/30/2021,16:40:12,1520,3580,2110,240,27350,5340,0,CHARGE,ON
03/30/2021,16:40:13,1000,240,1930,4630,10930,2550,0,CHARGE,ON
03/30/2021,16:40:14,2460,2000,140,1970,11840,0,0,CHARGE,ON
03/30/2021,16:40:16,260,1500,2510,3020,13080,4350,0,CHARGE,ON
03/30/2021,16:40:17,3260,2640,230,1780,15910,760,0,CHARGE,ON
03/30/2021,16:40:18,10,950,3670,1870,13300,7120,0,CHARGE,ON
03/30/2021,16:40:19,2800,2060,1840,1890,10420,150,0,CHARGE,ON
03/30/2021,16:40:21,720,1910,2730,1410,15630,7550,0,CHARGE,ON
03/30/2021,16:40:22,2380,900,2150,1970,9720,4250,0,CHARGE,ON
03/30/2021,16:40:23,1230,3720,1660,580,19810,4030,0,CHARGE,ON
03/30/2021,16:40:24,150,1180,1050,1740,15570,5210,0,CHARGE,ON
03/30/2021,16:40:25,3430,1090,40,1500,15270,790,0,CHARGE,ON
03/30/2021,16:40:27,1110,1830,1520,3350,15680,3320,0,CHARGE,ON
03/30/2021,16:40:28,3640,180,680,2140,7420,3610,0,CHARGE,ON
03/30/2021,16:40:29,1480,2660,3470,510,12690,8240,0,CHARGE,ON
03/30/2021,16:40:30,470,50,2090,3470,4990,3430,0,CHARGE,ON
03/30/2021,16:40:32,610,3400,3260,180,12670,6220,0,CHARGE,ON
03/30/2021,16:40:33,2420,650,2010,4200,4560,3870,0,CHARGE,ON
03/30/2021,16:40:34,1930,4630,2000,410,26470,2500,0,CHARGE,ON
03/30/2021,16:40:35,220,870,1770,4080,12080,3660,0,CHARGE,ON
03/30/2021,16:40:36,2230,2820,1630,1820,19930,1570,0,CHARGE,ON
03/30/2021,16:40:38,910,520,510,1310,14080,7330,0,CHARGE,ON
03/30/2021,16:40:39,720,1020,740,1540,10800,2360,0,CHARGE,ON
03/30/2021,16:40:40,1600,2020,2290,820,15180,6220,0,CHARGE,ON
03/30/2021,16:40:41,2610,30,1920,1930,3900,3740,0,CHARGE,ON
03/30/2021,16:40:43,1750,2620,1010,200,20740,4190,0,CHARGE,ON
03/30/2021,16:40:44,910,1930,1780,2120,16000,3320,0,CHARGE,ON
03/30/2021,16:40:45,2730,3830,30,1630,12210,380,0,CHARGE,ON
03/30/2021,16:40:46,130,1650,2040,3370,15410,7280,0,CHARGE,ON
03/30/2021,16:40:48,3020,1040,1860,870,10780,4150,0,CHARGE,ON
03/30/2021,16:40:49,2890,3650,610,400,25340,4620,0,CHARGE,ON
03/30/2021,16:40:50,2040,550,1420,3510,5880,3970,0,CHARGE,ON
03/30/2021,16:40:51,1050,2800,420,1230,22300,790,0,CHARGE,ON
03/30/2021,16:40:52,350,2100,1150,1610,15310,7620,0,CHARGE,ON
03/30/2021,16:40:54,3700,1100,2480,1750,4620,3980,0,CHARGE,ON
03/30/2021,16:40:55,1640,2740,1650,260,26070,2620,0,CHARGE,ON
03/30/2021,16:40:56,1310,1180,1860,4300,4990,3010,0,CHARGE,ON
03/30/2021,16:40:57,1740,1060,270,670,14020,790,0,CHARGE,ON
03/30/2021,16:40:59,1100,1830,5090,610,14540,8510,0,CHARGE,ON
03/30/2021,16:41:00,3300,230,1090,1020,10050,2740,0,CHARGE,ON
03/30/2021,16:41:01,2420,3280,990,30,18250,5760,0,CHARGE,ON
03/30/2021,16:41:02,1090,90,470,2620,5980,3930,0,CHARGE,ON
03/30/2021,16:41:03,1550,470,2530,510,25750,6270,0,CHARGE,ON
03/30/2021,16:41:05,2480,290,2270,3160,4650,4060,0,CHARGE,ON
03/30/2021,16:41:06,2110,3720,190,180,24550,1460,0,CHARGE,ON
03/30/2021,16:41:07,610,1130,2070,320,14590,4250,0,CHARGE,ON
03/30/2021,16:41:08,1880,2790,60,370,15830,360,0,CHARGE,ON
03/30/2021,16:41:10,650,1020,1880,3800,7390,3200,0,CHARGE,ON
03/30/2021,16:41:11,2550,2840,1290,1600,19160,1180,0,CHARGE,ON
03/30/2021,16:41:12,1160,3010,3480,420,12350,7260,0,CHARGE,ON
03/30/2021,16:41:13,1920,500,1870,4060,8330,3570,0,CHARGE,ON
03/30/2021,16:41:14,1980,3810,2020,40,26510,3120,0,CHARGE,ON
03/30/2021,16:41:16,1430,880,2700,2840,12930,3740,0,CHARGE,ON
03/30/2021,16:41:17,4540,1280,30,1570,18200,840,0,CHARGE,ON
03/30/2021,16:41:18,630,1920,3260,1430,14530,8740,0,CHARGE,ON
03/30/2021,16:41:19,4030,990,460,1570,10250,1240,0,CHARGE,ON
03/30/2021,16:41:21,520,2000,330,970,20620,8500,0,CHARGE,ON
03/30/2021,16:41:22,2740,330,1830,1860,10050,2880,0,CHARGE,ON
03/30/2021,16:41:23,1500,3990,1100,510,20650,1860,0,CHARGE,ON
03/30/2021,16:41:24,720,2360,1770,4010,15040,3150,0,CHARGE,ON
03/30/2021,16:41:26,3480,2180,450,1430,13380,720,0,CHARGE,ON
03/30/2021,16:41:27,220,1360,3350,880,14290,7210,0,CHARGE,ON
03/30/2021,16:41:28,3560,960,2330,1000,9050,3890,0,CHARGE,ON
03/30/2021,16:41:29,360,120,4210,640,13330,7830,0,CHARGE,ON
03/30/2021,16:41:30,3960,920,1790,450,7800,1780,0,CHARGE,ON
03/30/2021,16:41:32,1330,2140,3750,220,13240,6210,0,CHARGE,ON
03/30/2021,16:41:33,820,520,2210,3440,7270,4200,0,CHARGE,ON
03/30/2021,16:41:34,260,2010,3260,60,25740,5880,0,CHARGE,ON
03/30/2021,16:41:35,2500,40,1870,840,7050,3520,0,CHARGE,ON
03/30/2021,16:41:37,790,2020,3060,1420,13440,7180,0,CHARGE,ON
03/30/2021,16:41:38,2050,240,1890,2340,5530,3600,0,CHARGE,ON
03/30/2021,16:41:39,1540,200,3250,40,12750,6040,0,CHARGE,ON
03/30/2021,16:41:40,3030,50,2060,1720,4490,3330,0,CHARGE,ON
03/30/2021,16:41:41,840,2210,2090,1130,15630,4830,0,CHARGE,ON
03/30/2021,16:41:43,2240,120,1770,3710,3900,3370,0,CHARGE,ON
03/30/2021,16:41:44,1680,3140,2460,440,25510,3320,0,CHARGE,ON
03/30/2021,16:41:45,260,2000,2040,4200,12310,4160,0,CHARGE,ON
03/30/2021,16:41:46,3690,2100,370,560,17090,270,0,CHARGE,ON
03/30/2021,16:41:48,410,770,1200,1380,12220,4280,0,CHARGE,ON
03/30/2021,16:41:49,3790,1800,820,1320,15320,630,0,CHARGE,ON
03/30/2021,16:41:50,30,2250,3200,1630,13130,7960,0,CHARGE,ON
03/30/2021,16:41:51,3300,1870,180,1720,10610,790,0,CHARGE,ON
